Accession;Organism_Name;SRA_Accession;Species;Genus;Family;Molecule_type;Length;Nuc_Completeness;Geo_Location;Host;Isolation_Source
NC_076786;Plasmopara viticola lesion associated ourmia-like virus 56;;Botoulivirus betaplasmoparae;Botoulivirus;Botourmiaviridae;ssRNA(+);2556;complete;Spain;Plasmopara viticola;
NC_076787;Plasmopara viticola lesion associated ourmia-like virus 57;;Botoulivirus gammaplasmoparae;Botoulivirus;Botourmiaviridae;ssRNA(+);2496;complete;Spain;Plasmopara viticola;
NC_076788;Plasmopara viticola lesion associated ourmia-like virus 58;;Botoulivirus deltaplasmoparae;Botoulivirus;Botourmiaviridae;ssRNA(+);2493;complete;Italy;Plasmopara viticola;
NC_076789;Plasmopara viticola lesion associated ourmia-like virus 59;;Botoulivirus epsilonplasmoparae;Botoulivirus;Botourmiaviridae;ssRNA(+);2363;complete;Italy;Plasmopara viticola;
NC_076790;Plasmopara viticola lesion associated ourmia-like virus 60;;Betabotoulivirus thetaplasmoparae;Betabotoulivirus;Botourmiaviridae;ssRNA(+);2259;complete;Spain;Plasmopara viticola;
NC_076791;Plasmopara viticola lesion associated ourmia-like virus 61;;Botoulivirus zetaplasmoparae;Botoulivirus;Botourmiaviridae;ssRNA(+);2366;complete;Italy;Plasmopara viticola;
NC_076792;Plasmopara viticola lesion associated ourmia-like virus 62;;Scleroulivirus deltaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2863;complete;Italy;Plasmopara viticola;
NC_076793;Plasmopara viticola lesion associated ourmia-like virus 63;;Scleroulivirus epsilonplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2851;complete;Italy;Plasmopara viticola;
NC_076794;Plasmopara viticola lesion associated ourmia-like virus 64;;Deltascleroulivirus alphaplasmoparae;Deltascleroulivirus;Botourmiaviridae;ssRNA(+);2697;complete;Italy;Plasmopara viticola;
NC_076795;Plasmopara viticola lesion associated ourmia-like virus 66;;Scleroulivirus zetaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2553;complete;Italy;Plasmopara viticola;
NC_076796;Plasmopara viticola lesion associated ourmia-like virus 67;;Betascleroulivirus miplasmoparae;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2515;complete;Spain;Plasmopara viticola;
NC_076797;Plasmopara viticola lesion associated ourmia-like virus 68;;Scleroulivirus etaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2505;complete;Italy;Plasmopara viticola;
NC_076798;Plasmopara viticola lesion associated ourmia-like virus 69;;Scleroulivirus thetaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2462;complete;Spain;Plasmopara viticola;
NC_076799;Plasmopara viticola lesion associated ourmia-like virus 70;;Scleroulivirus iotaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2427;complete;Spain;Plasmopara viticola;
NC_076800;Plasmopara viticola lesion associated ourmia-like virus 71;;Scleroulivirus kappaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2338;complete;Italy;Plasmopara viticola;
NC_076801;Plasmopara viticola lesion associated ourmia-like virus 72;;Scleroulivirus lambdaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2339;complete;Italy;Plasmopara viticola;
NC_076802;Plasmopara viticola lesion associated ourmia-like virus 73;;Scleroulivirus miplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2327;complete;Spain;Plasmopara viticola;
NC_076803;Plasmopara viticola lesion associated ourmia-like virus 74;;Scleroulivirus niplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2291;complete;Italy;Plasmopara viticola;
NC_076804;Plasmopara viticola lesion associated ourmia-like virus 75;;Scleroulivirus xiplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2270;complete;Spain;Plasmopara viticola;
NC_076805;Plasmopara viticola lesion associated ourmia-like virus 76;;Scleroulivirus omicronplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2247;complete;Spain;Plasmopara viticola;
NC_076806;Plasmopara viticola lesion associated ourmia-like virus 77;;Scleroulivirus piplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2240;complete;Italy;Plasmopara viticola;
NC_076807;Plasmopara viticola lesion associated ourmia-like virus 78;;Scleroulivirus rhoplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2193;complete;Italy;Plasmopara viticola;
NC_076808;Plasmopara viticola lesion associated ourmia-like virus 79;;Scleroulivirus sigmaplasmoparae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2101;complete;Spain;Plasmopara viticola;
NC_076809;Plasmopara viticola lesion associated ourmia-like virus 80;;Deltascleroulivirus betaplasmoparae;Deltascleroulivirus;Botourmiaviridae;ssRNA(+);3000;complete;Spain;Plasmopara viticola;
NC_076810;Plasmopara viticola lesion associated ourmia-like virus 81;;Botoulivirus etaplasmoparae;Botoulivirus;Botourmiaviridae;ssRNA(+);2352;complete;Italy;Plasmopara viticola;
NC_076811;Plasmopara viticola lesion associated ourmia-like virus 82;;Penoulivirus alphaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);3324;complete;Spain;Plasmopara viticola;
NC_076812;Plasmopara viticola lesion associated ourmia-like virus 83;;Penoulivirus betaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);3111;complete;Spain;Plasmopara viticola;
NC_076813;Plasmopara viticola lesion associated ourmia-like virus 84;;Penoulivirus gammaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);3103;complete;Italy;Plasmopara viticola;
NC_076814;Plasmopara viticola lesion associated ourmia-like virus 85;;Penoulivirus deltaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);3060;complete;Italy;Plasmopara viticola;
NC_076815;Plasmopara viticola lesion associated ourmia-like virus 87;;Penoulivirus epsilonplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);2889;complete;Spain;Plasmopara viticola;
NC_076816;Plasmopara viticola lesion associated ourmia-like virus 88;;Penoulivirus zetaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);2778;complete;Spain;Plasmopara viticola;
NC_076817;Plasmopara viticola lesion associated ourmia-like virus 89;;Penoulivirus etaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);2660;complete;Italy;Plasmopara viticola;
NC_076818;Plasmopara viticola lesion associated ourmia-like virus 90;;Penoulivirus thetaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);2618;complete;Italy;Plasmopara viticola;
NC_076819;Plasmopara viticola lesion associated ourmia-like virus 91;;Penoulivirus iotaplasmoparae;Penoulivirus;Botourmiaviridae;ssRNA(+);2522;complete;Spain;Plasmopara viticola;
NC_076824;Fusarium oxysporum f. sp. dianthi mitovirus 1;;Unuamitovirus fuox1;Unuamitovirus;Mitoviridae;ssRNA(+);2313;complete;Colombia;Fusarium oxysporum f. sp. dianthi;
NC_076826;Botrytis cinerea ourmia-like virus 1;;Penoulivirus alphabotrytidis;Penoulivirus;Botourmiaviridae;ssRNA(+);5185;complete;Spain;Botrytis cinerea;
NC_076827;Botrytis cinerea ourmia-like virus 2;;Penoulivirus betabotrytidis;Penoulivirus;Botourmiaviridae;ssRNA(+);3561;complete;Spain;Botrytis cinerea;
NC_076828;Botrytis cinerea ourmia-like virus 3;;Penoulivirus gammabotrytidis;Penoulivirus;Botourmiaviridae;ssRNA(+);3286;complete;Spain;Botrytis cinerea;
NC_076829;Botrytis cinerea ourmia-like virus 4;;Botoulivirus alphabotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2861;complete;Italy;Botrytis cinerea;
NC_076830;Botrytis cinerea ourmia-like virus 5;;Deltascleroulivirus botrytidis;Deltascleroulivirus;Botourmiaviridae;ssRNA(+);3376;complete;Italy;Botrytis cinerea;
NC_076831;Botrytis cinerea ourmia-like virus 6;;Magoulivirus alphabotrytidis;Magoulivirus;Botourmiaviridae;ssRNA(+);2697;complete;Spain;Botrytis cinerea;
NC_076832;Botrytis cinerea ourmia-like virus 7;;Magoulivirus betabotrytidis;Magoulivirus;Botourmiaviridae;ssRNA(+);2100;complete;Spain;Botrytis cinerea;
NC_076833;Botrytis cinerea ourmia-like virus 10;;Betascleroulivirus botrytidis;Betascleroulivirus;Botourmiaviridae;ssRNA(+);2430;complete;Spain;Botrytis cinerea;
NC_076834;Botrytis cinerea ourmia-like virus 11;;Botoulivirus betabotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2850;complete;Italy;Botrytis cinerea;
NC_076835;Botrytis cinerea ourmia-like virus 12;;Botoulivirus gammabotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2898;complete;Spain;Botrytis cinerea;
NC_076836;Botrytis cinerea ourmia-like virus 13;;Botoulivirus deltabotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2877;complete;Spain;Botrytis cinerea;
NC_076837;Botrytis cinerea ourmia-like virus 14;;Botoulivirus epsilonbotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2484;complete;Spain;Botrytis cinerea;
NC_076838;Botrytis cinerea ourmia-like virus 15;;Botoulivirus zetabotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2428;complete;Spain;Botrytis cinerea;
NC_076839;Botrytis cinerea ourmia-like virus 16;;Botoulivirus etabotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2493;complete;Spain;Botrytis cinerea;
NC_076840;Botrytis cinerea ourmia-like virus 17;;Botoulivirus thetabotrytidis;Botoulivirus;Botourmiaviridae;ssRNA(+);2837;complete;Italy;Botrytis cinerea;
NC_076858;Oidiodendron maius ourmia-like virus 1;;Scleroulivirus oidiodendronae;Scleroulivirus;Botourmiaviridae;ssRNA(+);2087;complete;Poland;Oidiodendron maius;
NC_076859;Ceratobasidium mitovirus 1;;Duamitovirus cesp1;Duamitovirus;Mitoviridae;ssRNA(+);4501;complete;Italy;Ceratobasidium sp.;
NC_076870;Macrophomina phaseolina ourmia-like virus 2;;Magoulivirus alphamacrophominae;Magoulivirus;Botourmiaviridae;ssRNA(+);2218;complete;China;Macrophomina phaseolina;
NC_076871;Macrophomina phaseolina ourmia-like virus 2-A;;Magoulivirus betamacrophominae;Magoulivirus;Botourmiaviridae;ssRNA(+);2745;complete;China;Macrophomina phaseolina;
NC_076872;Macrophomina phaseolina ourmia-like virus 3;;Penoulivirus macrophominae;Penoulivirus;Botourmiaviridae;ssRNA(+);2833;complete;China;Macrophomina phaseolina;
NC_076881;Diaporthe rudis mitovirus 1;;Unuamitovirus diru1;Unuamitovirus;Mitoviridae;ssRNA(+);2455;complete;Czech Republic;Diaporthe rudis;
NC_076900;Fusarium verticillioides mitovirus 1;;Unuamitovirus fuve1;Unuamitovirus;Mitoviridae;ssRNA(+);2471;complete;Argentina;Fusarium verticillioides;
NC_076901;Fusarium andiyazi mitovirus 1;;Unuamitovirus fuan1;Unuamitovirus;Mitoviridae;ssRNA(+);2441;complete;Argentina;Fusarium andiyazi;
NC_076903;Botryosphaeria dothidea mitovirus 1;;Duamitovirus bodo1;Duamitovirus;Mitoviridae;ssRNA(+);2667;complete;China;Botryosphaeria dothidea;
NC_077019;Botryosphaeria dothidea Ourmia-like virus;;Botryosphaeria dothidea Ourmia-like virus;;Botourmiaviridae;ssRNA(+);2826;complete;China;Botryosphaeria dothidea;
NC_077046;Magnaporthe oryzae botourmiavirus 5;;Magnaporthe oryzae botourmiavirus 5;;Botourmiaviridae;ssRNA(+);2598;complete;China;Pyricularia oryzae;
NC_077053;Magnaporthe oryzae botourmiavirus 6;;Magnaporthe oryzae botourmiavirus 6;;Botourmiaviridae;ssRNA(+);2385;complete;China;Pyricularia oryzae;
NC_077054;Magnaporthe oryzae botourmiavirus 7;;Magnaporthe oryzae botourmiavirus 7;;Botourmiaviridae;ssRNA(+);2326;complete;China;Pyricularia oryzae;
NC_077073;Fusarium oxysporum ourmia-like virus;;Fusarium oxysporum ourmia-like virus;Ourmiavirus;Botourmiaviridae;ssRNA(+);2694;complete;China: Hunan province;;
NC_077089;Magnaporthe oryzae botourmiavirus 9;;Magnaporthe oryzae botourmiavirus 9;;Botourmiaviridae;ssRNA(+);2812;complete;China: Shanghang, Zhengjiang;Pyricularia oryzae;
NC_077090;Pestalotiopsis botourmiavirus 2;SRR12632402;Pestalotiopsis botourmiavirus 2;;Botourmiaviridae;ssRNA(+);2674;complete;China;Pestalotiopsis mangiferae;
NC_077091;Pestalotiopsis botourmiavirus 3;SRR12632402;Pestalotiopsis botourmiavirus 3;;Botourmiaviridae;ssRNA(+);2460;complete;China;Pestalotiopsis mangiferae;
NC_077093;Magnaporthe oryzae botourmiavirus 2;;Magnaporthe oryzae botourmiavirus 2;;Botourmiaviridae;ssRNA(+);2250;complete;China;Pyricularia oryzae;
NC_077101;Armillaria mellea ourmia-like virus 1;;Armillaria mellea ourmia-like virus 1;;Botourmiaviridae;ssRNA(+);3919;complete;South Africa;Armillaria mellea;
NC_077102;Armillaria mellea ourmia-like virus 2;;Armillaria mellea ourmia-like virus 2;;Botourmiaviridae;ssRNA(+);3162;complete;South Africa;Armillaria mellea;
NC_077143;Heterobasidion ourmia-like virus 1;;Heterobasidion ourmia-like virus 1;;Botourmiaviridae;ssRNA(+);2532;complete;Finland;Heterobasidion parviporum;
NC_077160;Botrytis cinerea botoulivirus 18;;Botrytis cinerea botoulivirus 18;Botoulivirus;Botourmiaviridae;ssRNA(+);2759;complete;China;Botrytis cinerea;
NC_077161;Botrytis cinerea botoulivirus 19;;Botrytis cinerea botoulivirus 19;Botoulivirus;Botourmiaviridae;ssRNA(+);2812;complete;China;Botrytis cinerea;
NC_077170;Erysiphe necator associated ourmia-like virus 21;;Erysiphe necator associated ourmia-like virus 21;Ourmiavirus;Botourmiaviridae;ssRNA(+);2680;complete;Spain;;
NC_073762;ssRNA phage Gephyllon.2_13;;Andhevirus chorohabitans;Andhevirus;Atkinsviridae;RNA;3878;complete;USA;;
NC_073763;ssRNA phage Gerhypos.2_20;;Apihcavirus arvenecus;Apihcavirus;Atkinsviridae;RNA;3999;complete;USA;;
NC_073764;ssRNA phage SRR7976325_2;;Apihcavirus borborovicinum;Apihcavirus;Atkinsviridae;RNA;4073;complete;Japan;activated sludge metagenome;
NC_073765;ssRNA phage SRR7976299_3;;Arihsbuvirus caenadaptatum;Arihsbuvirus;Atkinsviridae;RNA;3670;complete;USA;activated sludge metagenome;
NC_073766;ssRNA phage SRR5466365_1;;Bahdevuvirus caenivivens;Bahdevuvirus;Atkinsviridae;RNA;4169;complete;USA;activated sludge metagenome;
NC_073767;ssRNA phage SRR5466725_3;;Bahdevuvirus limadaptatum;Bahdevuvirus;Atkinsviridae;RNA;3976;complete;USA;activated sludge metagenome;
NC_073768;ssRNA phage ESE020;SRR1027978;Bilifuvirus defluviicola;Bilifuvirus;Atkinsviridae;RNA;3727;complete;USA;activated sludge metagenome;
NC_073769;ssRNA phage SRR5466728_1;;Blinduvirus asiadaptatum;Blinduvirus;Atkinsviridae;RNA;3862;complete;USA;activated sludge metagenome;
NC_073770;ssRNA phage Gerhypos.4_36;;Blinduvirus terrihabitans;Blinduvirus;Atkinsviridae;RNA;3818;complete;USA;;
NC_073771;ssRNA phage Gephyllon.4_5;;Cahtebovirus humivicinum;Cahtebovirus;Atkinsviridae;RNA;3867;complete;USA;;
NC_073772;ssRNA phage SRR7976301_2;;Chinihovirus lutihabitans;Chinihovirus;Atkinsviridae;RNA;3420;complete;USA;activated sludge metagenome;
NC_073773;ssRNA phage Gerhypos.2_38;;Chounavirus chorenecus;Chounavirus;Atkinsviridae;RNA;4294;complete;USA;;
NC_073774;ssRNA phage SRR6254353_1;;Cihsnivirus pelenecus;Cihsnivirus;Atkinsviridae;RNA;3615;complete;USA;activated sludge metagenome;
NC_073775;ssRNA phage SRR6960509_2;;Diydovirus borborovicinum;Diydovirus;Atkinsviridae;RNA;4222;complete;USA;activated sludge metagenome;
NC_073776;ssRNA phage Gerhypos.2_22;;Dugnivirus chthonadaptatum;Dugnivirus;Atkinsviridae;RNA;3944;complete;USA;;
NC_073777;ssRNA phage Gephyllon.2_10;;Dugnivirus solivicinum;Dugnivirus;Atkinsviridae;RNA;4096;complete;USA;;
NC_073778;ssRNA phage Gephyllon.3_17;;Dugnivirus solivivens;Dugnivirus;Atkinsviridae;RNA;4058;complete;USA;;
NC_073779;ssRNA phage SRR5467090_1;;Firunevirus limicola;Firunevirus;Atkinsviridae;RNA;3980;complete;USA;activated sludge metagenome;
NC_073780;ssRNA phage SRR7976356_4;;Gohshovirus asiadaptatum;Gohshovirus;Atkinsviridae;RNA;3791;complete;Japan;activated sludge metagenome;
NC_073781;ssRNA phage Zoerhiza.4_1;;Hehspivirus edaphadaptatum;Hehspivirus;Atkinsviridae;RNA;4212;complete;USA;;
NC_073782;ssRNA phage SRR6050738_1;SRR6050738;Helacdivirus borborovicinum;Helacdivirus;Atkinsviridae;RNA;3545;complete;Austria;activated sludge metagenome;
NC_073783;ssRNA phage SRR7976310_1;;Hirvovirus caenivicinum;Hirvovirus;Atkinsviridae;RNA;4535;complete;USA;activated sludge metagenome;
NC_073784;ssRNA phage SRR5466728_2;;Huhmpluvirus limenecus;Huhmpluvirus;Atkinsviridae;RNA;3634;complete;USA;activated sludge metagenome;
NC_073785;ssRNA phage Gerhypos.2_18;;Huleruivirus geocola;Huleruivirus;Atkinsviridae;RNA;4072;complete;USA;;
NC_073786;ssRNA phage Esthiorhiza.2_46;;Hysdruvirus geovivens;Hysdruvirus;Atkinsviridae;RNA;3966;complete;USA;;
NC_073787;ssRNA phage Esthiorhiza.3_13;;Hysdruvirus telluradaptatum;Hysdruvirus;Atkinsviridae;RNA;3529;complete;USA;;
NC_073788;ssRNA phage Gerhypos.1_5;;Hysdruvirus tellurenecus;Hysdruvirus;Atkinsviridae;RNA;4022;complete;USA;;
NC_073789;ssRNA phage Gerhypos.1_41;;Hysdruvirus telluricola;Hysdruvirus;Atkinsviridae;RNA;3973;complete;USA;;
NC_073790;ssRNA phage Gerhypos.4_10;;Hysdruvirus tellurihabitans;Hysdruvirus;Atkinsviridae;RNA;4257;complete;USA;;
NC_073791;ssRNA phage Zoerhiza.3_1;;Hysdruvirus tellurivicinum;Hysdruvirus;Atkinsviridae;RNA;4044;complete;USA;;
NC_073792;ssRNA phage SRR7976357_3;;Ichonovirus limivicinum;Ichonovirus;Atkinsviridae;RNA;3596;complete;Japan;activated sludge metagenome;
NC_073793;ssRNA phage SRR6960509_1;;Ipivevirus pelenecus;Ipivevirus;Atkinsviridae;RNA;3710;complete;USA;activated sludge metagenome;
NC_073794;ssRNA phage Zoerhiza.1_9;;Isoihlovirus terrihabitans;Isoihlovirus;Atkinsviridae;RNA;4075;complete;USA;;
NC_073795;ssRNA phage SRR5466337_1;;Kempsvovirus caenivivens;Kempsvovirus;Atkinsviridae;RNA;3622;complete;USA;activated sludge metagenome;
NC_073796;ssRNA phage SRR6960803_3;;Kihrivirus limicola;Kihrivirus;Atkinsviridae;RNA;4261;complete;Japan;activated sludge metagenome;
NC_073797;ssRNA phage SRR7976356_3;;Kimihcavirus limivivens;Kimihcavirus;Atkinsviridae;RNA;4061;complete;Japan;activated sludge metagenome;
NC_073798;ssRNA phage SRR7976326_2;;Kudohovirus pelocola;Kudohovirus;Atkinsviridae;RNA;3923;complete;Japan;activated sludge metagenome;
NC_073799;ssRNA phage SRR5467139_1;;Kuhfotivirus pelohabitans;Kuhfotivirus;Atkinsviridae;RNA;3655;complete;Austria;activated sludge metagenome;
NC_073800;ssRNA phage SRR5467091_2;;Lahcomavirus asienecus;Lahcomavirus;Atkinsviridae;RNA;3870;complete;USA;activated sludge metagenome;
NC_073801;ssRNA phage SRR5466364_2;;Lehptevirus asiohabitans;Lehptevirus;Atkinsviridae;RNA;3590;complete;USA;activated sludge metagenome;
NC_073802;ssRNA phage SRR5467091_3;;Lehptevirus asiovicinum;Lehptevirus;Atkinsviridae;RNA;3570;complete;USA;activated sludge metagenome;
NC_073803;ssRNA phage SRR6960551_2;;Lehptevirus asiovivens;Lehptevirus;Atkinsviridae;RNA;3587;complete;USA;activated sludge metagenome;
NC_073804;ssRNA phage SRR7976325_3;;Lehptevirus borboradaptatum;Lehptevirus;Atkinsviridae;RNA;3526;complete;Japan;activated sludge metagenome;
NC_073805;ssRNA phage Gephyllon.1_9;;Lehptevirus chorohabitans;Lehptevirus;Atkinsviridae;RNA;3708;complete;USA;;
NC_073806;ssRNA phage Gerhypos.4_28;;Lobdovirus arvadaptatum;Lobdovirus;Atkinsviridae;RNA;3924;complete;USA;;
NC_073807;ssRNA phage Zoerhiza.4_15;;Lobdovirus arvenecus;Lobdovirus;Atkinsviridae;RNA;3970;complete;USA;;
NC_073808;ssRNA phage Zoerhiza.1_12;;Lobdovirus arvicola;Lobdovirus;Atkinsviridae;RNA;3991;complete;USA;;
NC_073809;ssRNA phage Esthiorhiza.3_4;;Lobdovirus chorovicinum;Lobdovirus;Atkinsviridae;RNA;3685;complete;USA;;
NC_073810;ssRNA phage Gephyllon.2_11;;Lobdovirus chorovivens;Lobdovirus;Atkinsviridae;RNA;3902;complete;USA;;
NC_073811;ssRNA phage SRR7976299_1;;Madisduvirus caenivivens;Madisduvirus;Atkinsviridae;RNA;3757;complete;USA;activated sludge metagenome;
NC_073812;ssRNA phage SRR7976299_2;;Mitdiwavirus asiocola;Mitdiwavirus;Atkinsviridae;RNA;3503;complete;USA;activated sludge metagenome;
NC_073813;ssRNA phage Gerhypos.2_9;;Moloevirus chthonenecus;Moloevirus;Atkinsviridae;RNA;3799;complete;USA;;
NC_073814;ssRNA phage SRR6960803_1;;Monekavirus asiovivens;Monekavirus;Atkinsviridae;RNA;3679;complete;Japan;activated sludge metagenome;
NC_073815;ssRNA phage SRR7976301_1;;Nehujevirus caenicola;Nehujevirus;Atkinsviridae;RNA;3452;complete;USA;activated sludge metagenome;
NC_073816;ssRNA phage SRR7976357_4;;Neratovirus caenihabitans;Neratovirus;Atkinsviridae;RNA;3680;complete;Japan;activated sludge metagenome;
NC_073817;ssRNA phage SRR7976356_1;;Niginuvirus limadaptatum;Niginuvirus;Atkinsviridae;RNA;3592;complete;Japan;activated sludge metagenome;
NC_073818;ssRNA phage Zoerhiza.2_8;;Pagohnivirus humenecus;Pagohnivirus;Atkinsviridae;RNA;3867;complete;USA;;
NC_073819;ssRNA phage Esthiorhiza.2_7;;Pihngevirus agrivivens;Pihngevirus;Atkinsviridae;RNA;4265;complete;USA;;
NC_073820;ssRNA phage Gephyllon.3_2;;Pihngevirus choradaptatum;Pihngevirus;Atkinsviridae;RNA;4058;complete;USA;;
NC_073821;ssRNA phage Gephyllon.4_3;;Pihngevirus chorocola;Pihngevirus;Atkinsviridae;RNA;4170;complete;USA;;
NC_073822;ssRNA phage Esthiorhiza.4_2;;Pohlydovirus arvivicinum;Pohlydovirus;Atkinsviridae;RNA;4037;complete;USA;;
NC_073823;ssRNA phage Zoerhiza.3_2;;Pohlydovirus arvivivens;Pohlydovirus;Atkinsviridae;RNA;3935;complete;USA;;
NC_073824;ssRNA phage Zoerhiza.1_27;;Psoetuvirus pedenecus;Psoetuvirus;Atkinsviridae;RNA;4288;complete;USA;;
NC_073825;ssRNA phage ESE018;SRR1027978;Qeihnovirus defluviicola;Qeihnovirus;Atkinsviridae;RNA;3502;complete;USA;activated sludge metagenome;
NC_073826;ssRNA phage SRR5466364_1;;Qeihnovirus luticola;Qeihnovirus;Atkinsviridae;RNA;3928;complete;USA;activated sludge metagenome;
NC_073827;ssRNA phage SRR6960549_1;;Qeihnovirus lutihabitans;Qeihnovirus;Atkinsviridae;RNA;3724;complete;USA;activated sludge metagenome;
NC_073828;ssRNA phage SRR7976325_1;;Qeihnovirus lutivicinum;Qeihnovirus;Atkinsviridae;RNA;3756;complete;Japan;activated sludge metagenome;
NC_073829;ssRNA phage SRR7976357_1;;Qeihnovirus lutivivens;Qeihnovirus;Atkinsviridae;RNA;3736;complete;Japan;activated sludge metagenome;
NC_073830;ssRNA phage SRR7976357_2;;Qeihnovirus peladaptatum;Qeihnovirus;Atkinsviridae;RNA;3753;complete;Japan;activated sludge metagenome;
NC_073831;ssRNA phage SRR5466725_4;;Rainacovirus pelenecus;Rainacovirus;Atkinsviridae;RNA;4308;complete;USA;activated sludge metagenome;
NC_073832;ssRNA phage SRR5467091_1;;Rainacovirus pelocola;Rainacovirus;Atkinsviridae;RNA;3858;complete;USA;activated sludge metagenome;
NC_073833;ssRNA phage SRR6960551_1;;Rainacovirus pelohabitans;Rainacovirus;Atkinsviridae;RNA;3761;complete;USA;activated sludge metagenome;
NC_073834;ssRNA phage SRR7976310_2;;Rainacovirus pelovicinum;Rainacovirus;Atkinsviridae;RNA;3871;complete;USA;activated sludge metagenome;
NC_073835;ssRNA phage Esthiorhiza.2_15;;Rainacovirus tellurivicinum;Rainacovirus;Atkinsviridae;RNA;4069;complete;USA;;
NC_073836;ssRNA phage Gerhypos.4_59;;Rainacovirus tellurivivens;Rainacovirus;Atkinsviridae;RNA;3800;complete;USA;;
NC_073837;ssRNA phage Zoerhiza.1_36;;Rainacovirus terradaptatum;Rainacovirus;Atkinsviridae;RNA;3933;complete;USA;;
NC_073838;ssRNA phage Zoerhiza.4_7;;Rainacovirus terricola;Rainacovirus;Atkinsviridae;RNA;4014;complete;USA;;
NC_073839;ssRNA phage Gerhypos.3_27;;Scloravirus humicola;Scloravirus;Atkinsviridae;RNA;3550;complete;USA;;
NC_073840;ssRNA phage Gephyllon.1_7;;Sdonativirus humihabitans;Sdonativirus;Atkinsviridae;RNA;3983;complete;USA;;
NC_073841;ssRNA phage Gephyllon.2_6;;Sdribtuvirus humivicinum;Sdribtuvirus;Atkinsviridae;RNA;3710;complete;USA;;
NC_073842;ssRNA phage SRR6960803_2;;Shopitevirus limenecus;Shopitevirus;Atkinsviridae;RNA;4423;complete;Japan;activated sludge metagenome;
NC_073843;ssRNA phage Zoerhiza.2_26;;Stupavirus arvadaptatum;Stupavirus;Atkinsviridae;RNA;3932;complete;USA;;
NC_073844;ssRNA phage Gerhypos.2_41;;Stupavirus chorovivens;Stupavirus;Atkinsviridae;RNA;4074;complete;USA;;
NC_073845;ssRNA phage SRR7976356_2;;Tsecebavirus borborovicinum;Tsecebavirus;Atkinsviridae;RNA;3765;complete;Japan;activated sludge metagenome;
NC_073846;ssRNA phage SRR5466725_2;;Wahbolevirus lutadaptatum;Wahbolevirus;Atkinsviridae;RNA;4229;complete;USA;activated sludge metagenome;
NC_073847;ssRNA phage SRR7976326_1;;Wecineivirus lutihabitans;Wecineivirus;Atkinsviridae;RNA;3933;complete;Japan;activated sludge metagenome;
NC_073848;ssRNA phage SRR6960549_2;;Whodehavirus pelovicinum;Whodehavirus;Atkinsviridae;RNA;4420;complete;USA;activated sludge metagenome;
NC_073849;ssRNA phage SRR5466725_1;;Wulosvivirus asiocola;Wulosvivirus;Atkinsviridae;RNA;3364;complete;USA;activated sludge metagenome;
NC_073850;ssRNA phage Gephyllon.1_12;;Yekorevirus terrivivens;Yekorevirus;Atkinsviridae;RNA;3634;complete;USA;;
NC_073851;ssRNA phage Esthiorhiza.4_4;;Yeshinuvirus humadaptatum;Yeshinuvirus;Atkinsviridae;RNA;4513;complete;USA;;
NC_073852;ssRNA phage Gephyllon.1_2;;Yeshinuvirus humicola;Yeshinuvirus;Atkinsviridae;RNA;4392;complete;USA;;
NC_073853;ssRNA phage SRR5995670_1;;Beshanovirus aquicola;Beshanovirus;Duinviridae;RNA;3642;complete;Singapore;;
NC_073854;ssRNA phage SRR7976325_5;;Kahshuvirus borborenecus;Kahshuvirus;Duinviridae;RNA;3543;complete;Japan;activated sludge metagenome;
