Contig	T0-R-Dry-soil-A_sort TPM	T0-R-Dry-soil-B_sort TPM	T0-R-Dry-soil-C_sort TPM	T1-R-H218O-A_sort TPM	T1-R-H218O-B_sort TPM	T1-R-H218O-C_sort TPM	T1-R-H218O-P-A_sort TPM	T1-R-H218O-P-B_sort TPM	T1-R-H218O-P-C_sort TPM	T1-R-H2O-A_sort TPM	T1-R-H2O-B_sort TPM	T1-R-H2O-C_sort TPM	T1-R-H2O-P-A_sort TPM	T1-R-H2O-P-B_sort TPM	T1-R-H2O-P-C_sort TPM	T2-R-H218O-A_sort TPM	T2-R-H218O-B_sort TPM	T2-R-H218O-C_sort TPM	T2-R-H218O-P-A_sort TPM	T2-R-H218O-P-B_sort TPM	T2-R-H218O-P-C_sort TPM	T2-R-H2O-A_sort TPM	T2-R-H2O-B_sort TPM	T2-R-H2O-C_sort TPM	T2-R-H2O-P-A_sort TPM	T2-R-H2O-P-B_sort TPM	T2-R-H2O-P-C_sort TPM	T3-R-H218O-A_sort TPM	T3-R-H218O-B_sort TPM	T3-R-H218O-C_sort TPM	T3-R-H218O-P-A_sort TPM	T3-R-H218O-P-B_sort TPM	T3-R-H218O-P-C_sort TPM	T3-R-H2O-A_sort TPM	T3-R-H2O-B_sort TPM	T3-R-H2O-C_sort TPM	T3-R-H2O-P-A_sort TPM	T3-R-H2O-P-B_sort TPM	T3-R-H2O-P-C_sort TPM
T0-R-Dry-soil-B_NODE_4420_length_774_cov_1.243243	370.95908	510.58975	290.31927	370.3105	0	0	110.66435	0	0	0	744.42706	0	0	0	0	0	0	0	0	130.24223	0	500.2637	788.6756	0	0	0	0	0	0	0	131.29616	0	0	0	0	179.15823	0	86.4776	0
T0-R-Dry-soil-B_NODE_4606_length_765_cov_13.685879	1154.8412	1276.2979	1174.9384	5191.8164	7538.051	6792.565	9964.994	10700.921	6694.425	13174.161	8368.726	10540.717	30284.07	28602.594	19016.285	5606.3677	3300.5317	10365.023	11922.755	11178.868	11649.708	11135.28	9217.748	7319.8057	24275.111	22568.898	24291.379	2749.2395	5321.4644	3481.9363	11191.834	14250.168	18416.535	6797.347	15463.802	6888.1094	35113.348	22602.877	10216.038
T0-R-Dry-soil-B_NODE_4721_length_760_cov_3.744557	0	795.28705	328.51898	0	0	0	293.0274	0	0	0	0	214.3448	0	0	0	0	0	242.63283	0	110.534515	0	0	0	0	0	0	0	180.47783	0	0	0	0	55.37776	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_4917_length_752_cov_1.381791	234.96112	494.6137	132.80559	0	0	0	113.90184	157.31082	0	0	0	0	0	0	0	0	0	0	0	0	0	294.22787	279.9134	0	0	0	0	0	0	0	0	0	111.9337	0	226.34724	414.89914	118.67232	207.68434	0
T0-R-Dry-soil-B_NODE_4974_length_749_cov_7.678466	0	496.59506	0	0	0	0	0	0	0	0	299.16245	0	0	0	0	0	0	0	0	0	0	0	702.58606	0	198.61406	0	0	0	0	0	407.0353	0	0	0	0	0	251.53375	0	0
T0-R-Dry-soil-B_NODE_5013_length_748_cov_2.344165	0	932.3602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_5967_length_713_cov_4.291277	0	521.6684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387.9403	0	0	0	0	0	0	243.4162	0	0	0	0	0	106.89674	0	0	0	0	194.48593	0	0	0
T0-R-Dry-soil-B_NODE_6095_length_709_cov_2.636364	1214.9044	918.0703	563.4403	1212.7802	3055.9182	967.9907	676.5347	1935.4775	1706.576	0	0	0	197.28918	201.2723	520.76825	1751.0797	1865.4016	0	5153.3105	1445.5234	1282.1709	1014.23615	0	911.3025	0	272.99878	287.62708	870.57043	1510.9941	236.65854	232.91618	1034.039	400.68796	140.59235	0	0	181.81166	0	612.3861
T0-R-Dry-soil-B_NODE_8236_length_653_cov_1.953608	0	213.60059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.29709	254.12646	0	263.8546	0	0	0	0	0	0	0	683.3925	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_8268_length_652_cov_8.998279	0	2781.0645	1072.2214	785.00323	0	300.7475	472.93692	435.4519	604.2042	0	392.76523	666.26587	777.69666	364.78043	283.14786	1298.294	295.05203	707.059	0	206.15028	497.95087	0	419.69815	495.48572	228.16255	237.49214	156.38625	0	739.3905	289.5166	311.72742	0	645.5072	305.7666	717.92303	478.53415	0	171.0985	0
T0-R-Dry-soil-B_NODE_8328_length_651_cov_2.927586	814.24304	857.0269	230.11461	0	0	0	0	0	0	0	295.02643	0	0	0	0	0	0	0	245.80028	0	0	0	0	0	152.34209	237.85709	0	0	0	225.52545	0	0	113.137314	0	0	159.75626	60.926113	0	0
T0-R-Dry-soil-B_NODE_8415_length_649_cov_4.243945	340.3133	1253.6823	923.29553	0	0	151.06879	369.5403	0	0	0	0	0	0	0	113.78263	826.0537	518.7276	0	0	0	0	0	0	0	0	0	0	0	0	323.172	195.73036	0	64.849075	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_8708_length_643_cov_8.860140	0	2675.377	0	0	0	0	186.49419	0	0	0	0	0	0	0	0	526.58636	0	0	0	156.77689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_8825_length_641_cov_4.145614	0	1378.1283	0	0	0	0	0	0	0	0	499.38187	1016.5491	0	0	0	0	300.11514	719.19293	0	0	0	0	985.1552	134.39693	0	181.17574	0	0	835.6431	0	0	0	0	155.507	0	243.37303	0	0	0
T0-R-Dry-soil-B_NODE_8841_length_641_cov_2.664912	413.4726	761.5971	311.60617	319.3899	1040.0313	0	0	442.9243	0	367.3523	898.88696	508.27454	0	0	230.40556	352.15305	0	431.5155	0	0	0	690.3573	591.0928	0	0	0	0	213.9831	0	0	198.17322	0	295.46313	1036.7129	796.6291	0	278.4448	0	0
T0-R-Dry-soil-B_NODE_8976_length_638_cov_3.003527	0	218.6224	0	385.07004	0	614.6938	375.9116	445.0072	617.4626	295.2637	0	680.88635	0	521.89886	1099.5725	0	0	1011.60376	585.22015	553.019	0	0	263.94318	0	155.44621	0	119.86342	214.98927	0	0	238.92583	0	0	0	200.09373	0	559.5082	244.79388	0
T0-R-Dry-soil-B_NODE_9099_length_636_cov_1.339823	0	438.6199	117.77093	0	314.46216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198.57996	0	136.4431	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_9315_length_632_cov_0.950089	0	220.69795	0	0	0	0	135.52881	0	0	0	253.24657	257.75644	82.99736	0	0	0	152.19441	0	379.78473	0	128.42726	0	166.53072	0	0	0	0	0	0	0	0	0	0	0	336.65564	329.11823	251.03099	211.81549	0
T0-R-Dry-soil-B_NODE_9424_length_629_cov_6.326165	0	3104.5068	0	0	0	194.84032	0	0	0	0	0	0	0	0	0	538.307	114.690254	513.0393	0	106.844154	0	0	0	171.20132	0	0	0	0	0	133.37917	0	0	0	0	0	0	0	0	402.6592
T0-R-Dry-soil-B_NODE_9506_length_628_cov_1.579892	0	592.27637	198.78535	260.801	0	0	0	0	0	374.9565	0	0	0	0	0	179.72142	0	293.6322	0	0	0	0	0	0	0	0	0	0	170.58836	0	0	0	0	0	203.27985	0	0	0	0
T0-R-Dry-soil-B_NODE_9782_length_623_cov_1.525362	141.80641	597.02985	0	0	0	0	0	0	361.33105	0	0	0	0	0	177.79692	0	0	0	0	0	0	0	0	0	0	0	0	293.5541	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_9787_length_623_cov_1.418478	531.7738	597.02985	200.38077	0	0	0	0	0	0	0	205.5241	261.4799	0	0	0	0	0	0	0	0	104.22598	355.1517	0	0	59.695866	0	0	0	0	0	0	0	0	0	273.2152	111.2909	0	0	0
T0-R-Dry-soil-B_NODE_10185_length_616_cov_6.528440	860.5067	1434.0588	972.7571	664.704	432.89633	795.80865	778.6741	614.53375	274.07773	535.16516	1766.8058	617.05316	510.91827	308.87885	1798.1726	503.86194	390.36896	0	606.1209	490.9453	685.16785	1167.3591	1640.2186	1118.8114	845.2387	188.52864	1013.8445	222.66747	304.34512	544.77606	0	620.94867	204.96956	3398.1792	1796.0791	984.86163	321.9391	362.19513	587.36725
T0-R-Dry-soil-B_NODE_10483_length_612_cov_1.741220	0	531.7905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_10584_length_610_cov_3.512059	0	724.0822	0	0	0	0	0	0	184.5158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187.38145	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_10622_length_610_cov_1.172542	289.65692	304.87674	245.5814	1812.3536	1693.9722	1285.8181	1432.25	4344.048	4289.992	0	314.85617	712.13983	171.98125	779.7925	2179.0315	5920.787	2207.568	1209.1868	1049.2844	2671.6733	585.45966	3083.123	1518.3235	2683.3132	1971.3	2030.7523	1211.865	1199.2408	965.9219	687.66785	4227.3564	3866.85	655.4545	1307.2773	139.519	625.14484	7981.3477	5431.5054	830.4023
T0-R-Dry-soil-B_NODE_10834_length_606_cov_4.336449	0	1112.473	535.6053	0	330.02972	0	2233.227	4450.8066	0	0	0	0	0	0	0	0	9126.6455	0	0	0	0	0	521.02655	0	245.4819	0	0	0	0	0	209.61867	0	0	0	0	0	0	0	0
T0-R-Dry-soil-B_NODE_11114_length_602_cov_11.879473	0	2008.0334	331.79318	0	0	0	0	0	0	0	425.38696	0	406.6223	0	183.999	0	399.4472	1072.0988	0	0	0	735.0813	0	0	164.74197	0	0	0	0	0	0	0	0	607.13135	0	172.75977	0	0	0
T0-R-Dry-soil-B_NODE_11283_length_600_cov_2.164461	515.34796	1162.3424	665.7984	0	0	245.10902	256.96246	0	468.97757	0	0	0	116.56515	0	0	0	360.70087	0	0	0	0	0	0	0	0	0	0	0	401.73557	349.56458	0	0	52.608818	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_1_length_4627_cov_24.402327	0	0	1467.7208	1791.9857	2377.327	2426.193	1392.0886	1482.8765	1228.4436	2055.9966	3016.3218	3068.862	2289.9866	1578.0396	1456.3114	2170.9502	2655.6887	3766.1313	2121.095	1427.0349	1669.9814	4034.745	4158.035	3090.6948	1580.7501	1974.4646	2032.8857	1976.2721	2280.5825	1414.2744	1674.6847	0	1212.039	2513.3618	4768.504	2423.7776	1763.7014	1444.1786	0
T0-R-Dry-soil-C_NODE_2_length_4078_cov_6.087597	687.8285	450.34363	985.7181	3328.4744	4397.537	3444.03	7309.377	6004.8135	6217.0005	7396.779	5471.1196	5179.735	17986.416	17992.31	10158.664	3397.298	3036.7988	4702.7236	6010.0815	5681.4414	7165.219	7399.277	6885.7314	4061.3147	13187.216	11756.703	11145.262	1939.6128	2909.4138	2108.7021	5049.385	7206.742	6713.4966	4281.658	6219.162	3859.4597	10676.792	9363.821	4826.6074
T0-R-Dry-soil-C_NODE_5_length_3693_cov_14.801215	2129.0923	2952.281	851.8542	17179.93	424.22186	0	0	0	0	3321.9956	0	0	2229.9824	0	569.88416	0	644.6317	0	0	0	307.69693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1149.1826	0	0
T0-R-Dry-soil-C_NODE_7_length_3652_cov_34.835242	538.24854	0	1599.7755	0	0	0	0	0	0	0	0	0	0	332.13794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	997.37177	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_10_length_3521_cov_10.508406	0	0	879.2847	0	0	751.8257	0	0	0	1457.9116	0	0	610.7996	716.0096	597.7226	0	0	0	0	0	364.22128	0	1416.8496	1260.0531	0	0	0	0	0	0	0	0	0	0	0	467.67633	0	0	0
T0-R-Dry-soil-C_NODE_11_length_3521_cov_3.280000	577.09247	581.00604	510.5525	0	397.61032	0	0	0	0	0	0	323.86093	0	0	272.64545	0	0	0	302.9745	0	276.6238	0	394.5658	0	225.33304	428.781	0	246.71973	494.42035	0	357.1676	0	149.41447	0	0	403.67847	253.45508	205.94003	0
T0-R-Dry-soil-C_NODE_12_length_3494_cov_3.626059	0	0	1407.7233	0	0	0	808.9832	325.03116	0	0	0	0	0	0	232.48277	0	1348.9291	0	0	0	260.17722	379.9532	0	0	0	0	0	327.1399	0	0	0	0	0	0	0	203.39891	0	0	0
T0-R-Dry-soil-C_NODE_16_length_3306_cov_16.274189	1062.2284	351.5858	1268.7628	619.26447	0	1312.2899	238.36005	815.84656	0	0	619.68036	624.1458	354.34955	374.09305	625.4263	733.9983	538.2511	697.2212	532.4183	330.33295	211.13966	560.5106	573.03467	684.02826	299.9838	263.46112	154.21034	484.04013	518.47284	412.37195	645.51917	491.72552	101.84412	492.46982	411.88892	487.6049	0	202.46126	2145.0798
T0-R-Dry-soil-C_NODE_21_length_3198_cov_35.311161	0	0	1163.2733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_33_length_2925_cov_14.868255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_41_length_2842_cov_31.643811	0	0	12290.448	0	0	2699.477	0	0	217.82222	256.84924	0	36512.52	19311.99	0	7450.752	9690.03	0	0	0	177.35306	4066.8691	0	0	53857.945	0	0	0	0	0	4014.7034	0	0	0	0	0	0	0	714.39886	0
T0-R-Dry-soil-C_NODE_48_length_2744_cov_35.019080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_50_length_2728_cov_3.570192	0	0	475.919	390.24554	0	0	313.98154	1188.1813	1939.1744	0	0	0	0	0	345.13306	972.2609	387.85043	0	0	147.81154	0	638.7164	0	742.11487	445.34067	262.5211	303.6861	0	0	0	1466.7931	701.0714	169.70596	207.05763	0	0	294.4185	605.2167	0
T0-R-Dry-soil-C_NODE_57_length_2644_cov_48.978624	0	0	13390.254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	307.4643	0	0	0	737.73456	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_58_length_2626_cov_409.897847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_66_length_2558_cov_10.168074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_67_length_2550_cov_3.570391	190.54878	291.72528	1380.5526	0	0	365.26047	201.5391	0	0	0	0	0	377.1224	0	0	0	0	0	0	144.95192	241.90642	0	338.4426	0	0	0	0	0	0	394.80215	0	0	0	390.9017	283.68842	149.5445	0	0	0
T0-R-Dry-soil-C_NODE_69_length_2525_cov_12.830888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225.84334	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_72_length_2502_cov_26.646647	0	873.3828	10308.297	0	0	0	0	0	2834.1086	0	0	0	0	0	0	0	605.4929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_84_length_2395_cov_5.158778	0	0	2001.5654	0	0	0	786.80237	632.2385	0	0	0	0	0	0	215.83072	0	1526.1388	0	0	0	284.6741	300.24768	0	0	0	0	0	209.99243	0	0	0	0	0	0	0	361.8699	0	0	0
T0-R-Dry-soil-C_NODE_101_length_2330_cov_42.440460	1905.3018	877.9927	1832.3745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_107_length_2280_cov_2.403350	600.5933	469.01535	1401.6809	260.40063	0	430.01605	285.5137	166.03185	0	0	631.78375	0	329.75665	302.5117	234.81393	0	0	0	269.03253	0	277.67313	327.5223	378.52133	255.04495	0	0	0	0	716.54614	0	0	0	0	0	0	228.07335	230.49721	0	0
T0-R-Dry-soil-C_NODE_120_length_2236_cov_9.114088	3704.1042	2474.397	2947.8555	1281.8445	2131.762	1786.7971	1968.973	1237.9993	767.6466	3085.578	2677.074	2489.1848	2619.5876	1489.1389	3087.8826	1779.2897	1096.9436	2309.136	1419.342	225.41922	827.63196	2894.3823	2861.8254	1608.5415	1114.3848	917.5736	718.21545	1104.1761	1593.0477	656.606	460.16754	427.66608	291.74863	1894.632	1884.0671	1302.3429	376.93958	0	0
T0-R-Dry-soil-C_NODE_125_length_2197_cov_5.617592	0	1153.3481	2204.6814	307.5127	0	546.67017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_126_length_2186_cov_7.472813	767.8692	1988.6368	3118.0754	0	0	0	0	0	0	2520.6145	3924.4192	2111.4167	791.8534	979.19977	0	619.5701	0	0	0	176.77435	0	2467.1536	13163.147	1891.6412	584.11444	265.63055	256.54202	0	0	0	0	0	0	14097.762	5499.2207	2497.7454	0	168.40587	0
T0-R-Dry-soil-C_NODE_129_length_2176_cov_9.131591	0	0	3591.3652	3490.5508	796.5607	0	362.14075	239.2049	465.52924	1006.3865	0	0	0	0	0	155.60431	817.76514	0	0	0	2267.8738	0	0	0	0	0	1481.896	0	0	0	0	0	309.46384	0	743.11774	0	0	0	2510.778
T0-R-Dry-soil-C_NODE_131_length_2173_cov_10.677926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_145_length_2121_cov_6.520488	395.7006	854.9053	706.2927	752.8923	628.6281	0	597.68097	948.1665	1021.53546	799.3418	0	934.4526	486.37485	1009.20825	644.0977	345.8853	0	521.64355	502.95743	0	283.1816	586.7914	476.36722	629.56195	280.5508	0	504.77142	0	0	0	0	0	218.27347	548.2945	662.07336	457.65195	126.225586	247.20135	0
T0-R-Dry-soil-C_NODE_150_length_2113_cov_3.642507	386.74603	462.07654	1146.1628	0	0	0	0	0	0	0	0	0	306.16956	0	0	320.4874	341.41107	807.245	0	0	0	575.9236	537.94214	611.5603	0	0	0	1103.5371	0	0	0	0	0	982.804	1157.9803	1402.7634	0	0	0
T0-R-Dry-soil-C_NODE_165_length_2081_cov_13.800498	4903.359	4099.757	4403.1963	1633.109	2306.561	1542.9742	1127.7865	2069.2153	1527.9526	3609.6013	2445.77	3013.8044	2058.514	2057.2136	1987.1779	908.4525	820.4312	1417.7876	986.8035	758.9221	748.8649	2432.1526	1537.4917	1521.3629	1108.0306	1032.423	955.45135	977.6965	978.11615	322.5199	592.1101	689.28	364.04004	1061.7838	2106.1929	991.2035	662.31903	396.69168	417.28183
T0-R-Dry-soil-C_NODE_181_length_2043_cov_5.265720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_187_length_2016_cov_8.859126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_209_length_1965_cov_24.630412	539.5135	0	1384.9625	843.92017	610.68085	948.00464	0	770.5908	544.1571	1761.5515	1042.577	0	631.7651	835.152	1061.6389	1392.8634	1174.8016	1055.7305	990.7688	513.0151	735.2443	1674.9282	1885.3477	2334.5579	782.29376	1773.0325	758.891	1733.445	1403.8595	1633.0802	1144.2302	0	358.75757	1200.5555	1851.5542	1931.8326	0	772.09326	865.4175
T0-R-Dry-soil-C_NODE_214_length_1958_cov_5.255432	0	0	369.7936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_239_length_1907_cov_10.654139	301.12457	0	3875.3855	2243.7505	0	0	0	0	0	0	436.4289	825.7572	20382.082	0	0	1154.0996	277.41373	1063.6659	0	0	0	348.0746	0	655.0355	162.51752	0	0	0	0	0	0	7956.3076	198.62807	1576.8279	926.0415	454.47214	0	0	0
T0-R-Dry-soil-C_NODE_258_length_1874_cov_9.995008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_263_length_1858_cov_6.436486	0	0	1075.0243	0	0	474.9152	0	0	0	202.77527	0	482.21786	301.13696	563.2302	0	0	0	0	0	253.1944	0	282.82617	203.9239	0	0	0	0	0	0	0	328.1695	0	0	1278.6359	1374.1636	0	0	0	0
T0-R-Dry-soil-C_NODE_264_length_1858_cov_4.299944	0	1113.5465	1948.4823	683.1641	0	646.4127	737.603	356.5487	757.2297	0	654.67896	0	272.90533	153.60825	586.22894	683.38635	582.4018	0	287.07544	479.26053	314.52908	0	169.9366	463.66238	193.4921	187.51393	260.67172	701.31885	317.12173	395.09445	0	0	249.17012	241.4206	916.1091	382.4952	0	276.18835	0
T0-R-Dry-soil-C_NODE_265_length_1857_cov_24.616461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_269_length_1852_cov_2.778214	310.06735	527.1964	1199.8391	132.65369	0	0	0	0	0	228.86122	207.4106	263.88004	0	0	269.14337	0	0	0	0	0	0	0	431.90088	395.38995	133.87502	0	82.58411	0	0	158.54976	109.74422	0	215.88937	161.46855	183.81537	327.57822	171.33003	0	0
T0-R-Dry-soil-C_NODE_275_length_1829_cov_28.971559	845.2943	495.69556	1351.4362	0	0	0	0	0	0	270.36224	0	0	0	364.10217	0	462.8144	0	0	0	0	115.38085	0	0	0	0	0	243.89929	0	0	0	215.3034	0	0	181.66571	407.15274	426.46826	0	0	0
T0-R-Dry-soil-C_NODE_278_length_1828_cov_5.442800	0	0	751.2086	0	0	0	0	0	0	0	0	519.83685	286.94897	273.2259	0	0	0	0	0	312.49594	0	287.46777	426.05606	0	0	0	0	0	0	0	0	0	0	0	360.81818	170.68063	0	85.43686	0
T0-R-Dry-soil-C_NODE_279_length_1822_cov_2.066819	0	0	630.3526	0	0	0	263.26193	0	138.99442	0	0	0	0	0	0	309.72836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_285_length_1800_cov_10.336611	0	0	3176.413	0	0	0	542.47626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655.94006	0	0	0	0	0	0	0	0	260.04773	0	0	0	0
T0-R-Dry-soil-C_NODE_299_length_1783_cov_3.418808	297.29242	0	616.1341	2388.3118	2000.3547	1360.9535	1114.513	4816.836	5050.124	449.02277	0	578.6388	402.06137	813.6872	2474.614	7168.794	3614.4275	2042.5802	2288.5063	3213.2502	937.75653	3629.7473	814.5902	4795.422	3406.8708	2203.6956	1422.5184	1628.316	1081.5088	1752.7238	5279.217	6203.453	802.5579	1136.75	894.9792	651.3453	6022.845	6312.962	1562.5349
T0-R-Dry-soil-C_NODE_310_length_1764_cov_3.606025	0	0	452.924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235.20526	0	0	0	0	0	0	0	0	0	466.54123	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_322_length_1743_cov_21.560407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_323_length_1740_cov_8.072499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_326_length_1738_cov_13.357528	0	0	4036.7366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1326.2441	0	0	0	0	145.3359	718.73004	0	222.73438	0	0	493.1162	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_354_length_1689_cov_13.286156	0	0	4952.096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_362_length_1679_cov_4.744403	697.1863	761.51074	1442.4305	0	674.99835	671.5318	0	1240.0476	536.29376	631.10626	972.3221	1390.6661	572.7588	0	1165.5098	0	802.035	1619.9612	1143.6515	1160.7766	541.4291	1811.982	852.5101	615.7129	982.0006	622.5152	789.4756	1307.0941	1754.652	999.3507	635.52313	0	557.7352	653.0552	2585.1309	1238.8496	1399.6592	690.9969	0
T0-R-Dry-soil-C_NODE_367_length_1673_cov_6.060549	369.64572	458.54514	1611.7655	1443.9927	0	1904.6132	829.4067	1131.3591	588.675	408.17136	0	0	627.06866	540.215	728.2974	843.28296	1063.6328	1487.994	1386.869	552.3422	1280.8026	793.5188	528.4387	502.06082	755.81415	624.74786	502.81018	1134.1447	1712.9188	777.2744	1207.2688	1371.8035	415.08475	377.34976	966.5415	435.1522	687.5219	333.40164	865.07587
T0-R-Dry-soil-C_NODE_368_length_1671_cov_2.621250	0	0	1210.2705	453.3194	698.17804	542.7311	1117.4508	707.9456	1145.0801	662.31116	0	227.47144	1517.23	483.9289	574.4971	1350.8679	1093.6871	938.00616	446.88272	271.47427	0	513.09406	0	438.2179	348.68427	0	312.72552	1217.5865	0	615.0327	281.27304	495.96628	277.05444	427.51215	165.52734	311.19513	0	173.57625	562.97253
T0-R-Dry-soil-C_NODE_375_length_1664_cov_3.092906	398.19113	307.35028	930.277	1008.88007	0	206.22166	607.4032	0	1589.5635	0	654.058	0	378.2763	628.8953	510.34683	0	0	1689.9728	480.81705	0	0	0	0	0	312.90094	279.16748	459.57242	0	0	176.46292	0	0	467.9152	439.29453	358.02032	0	852.1329	187.71469	0
T0-R-Dry-soil-C_NODE_388_length_1645_cov_8.092757	2537.5789	3617.7468	3126.6216	721.8404	729.4763	670.5111	249.9331	719.13525	718.43365	1660.476	1439.9799	2063.0952	1041.6453	954.2389	1503.8336	1046.3171	321.59756	924.80774	632.2817	306.40558	552.6196	1008.782	1535.5245	680.8084	617.9577	623.6154	596.5967	806.0249	1335.0483	395.25235	617.77	0	0	4160.905	1112.3346	590.07874	590.7243	298.38715	0
T0-R-Dry-soil-C_NODE_453_length_1573_cov_13.699068	0	0	5079.201	0	0	0	1176.1788	2241.1138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3371.6733	0	0	0	0	0	0	0	0	0	0	0
T0-R-Dry-soil-C_NODE_473_length_1559_cov_2.895161	340.00772	313.13913	672.63165	380.82983	0	267.2774	0	0	0	0	0	0	0	427.16043	319.72632	470.5727	354.76242	0	598.7338	0	0	478.99347	337.54776	0	294.2161	285.55426	179.8591	0	429.47998	0	0	0	161.97719	383.63025	0	567.03796	292.5745	286.2247	0
